,genes_0,genes_1,x,y,cluster
171595,19892.453,22663.08,20000.0,8790.0,27.0
171607,20930.549,22375.723,19980.0,9148.0,13.0
171608,21711.25,20596.238,19992.0,9277.0,28.0
171609,19987.71,22498.062,19986.0,9771.0,7.0
171623,19898.19,22651.963,19987.0,8908.0,27.0
171655,21627.426,20443.385,20000.0,9102.0,29.0
171663,20709.64,21742.459,19992.0,9046.0,30.0
171668,20006.178,22476.623,20001.0,8852.0,3.0
171669,20653.21,22290.713,19994.0,9246.0,17.0
171670,21918.164,20312.762,19998.0,9364.0,31.0
171700,20736.016,21710.18,19996.0,9477.0,32.0
171716,22115.01,20261.44,20007.0,9172.0,33.0
171724,20667.395,22312.754,20002.0,9224.0,17.0
171725,20625.326,22264.457,20001.0,9320.0,17.0
171734,20009.848,22464.027,20002.0,8877.0,3.0
171749,20337.65,21734.332,20002.0,9842.0,34.0
171754,20096.24,22110.273,20009.0,8768.0,110.0
171760,19900.424,22648.863,20008.0,8704.0,27.0
171770,21228.406,20834.457,20016.0,8789.0,35.0
171771,21487.07,20723.467,20010.0,9439.0,36.0
171791,20193.617,21973.777,20007.0,8738.0,110.0
171805,20681.967,22206.627,20018.0,8903.0,17.0
171828,19973.309,22520.6,20017.0,9765.0,7.0
171837,20196.762,22423.006,20016.0,8853.0,37.0
171838,20941.965,22217.094,20003.0,8977.0,21.0
171839,20928.018,20905.291,20014.0,9288.0,38.0
171840,20344.838,21759.09,20017.0,9532.0,57.0
171853,20551.26,21600.729,20019.0,9238.0,725.0
171863,21514.713,20339.562,20024.0,9512.0,39.0
171870,20092.146,22226.762,20021.0,8757.0,110.0
171871,20538.453,21500.572,20023.0,9341.0,725.0
171880,21562.14,20568.383,20025.0,9087.0,40.0
171900,20869.703,22031.316,20012.0,8923.0,54.0
171911,20118.453,22145.6,20030.0,8708.0,110.0
171912,19901.893,22635.084,20028.0,9904.0,41.0
171920,20536.719,21364.707,20026.0,9161.0,725.0
171940,20934.39,22193.879,20032.0,8888.0,21.0
171952,20771.877,21834.818,20034.0,8827.0,42.0
171966,20146.371,22105.305,20032.0,9295.0,110.0
171967,21627.834,20220.68,20040.0,9397.0,725.0
171972,20841.654,22229.893,20035.0,9035.0,43.0
171982,20925.064,21026.48,20031.0,8727.0,44.0
171983,22296.375,20100.494,20040.0,9219.0,109.0
171984,20543.658,21398.129,20036.0,9379.0,725.0
171991,20288.48,21782.176,20035.0,9137.0,57.0
172008,20609.623,21428.17,20040.0,8751.0,725.0
172013,21558.408,20277.887,20036.0,9352.0,725.0
172017,20780.537,22014.217,20040.0,8854.0,54.0
172026,20853.627,22123.496,20050.0,8958.0,45.0
172027,20365.635,22237.898,20042.0,8978.0,46.0
172028,21111.096,20809.068,20040.0,9479.0,725.0
172036,21537.18,20162.19,20048.0,9248.0,47.0
172041,21560.818,20705.684,20040.0,9002.0,48.0
172042,20197.123,21813.34,20044.0,9157.0,57.0
172043,20943.83,20649.041,20043.0,9922.0,49.0
172046,20378.785,21632.043,20043.0,9181.0,725.0
172047,22258.215,20144.732,20039.0,9453.0,50.0
172063,20071.88,22335.398,20056.0,8660.0,51.0
172064,21659.57,20598.764,20055.0,8768.0,52.0
172070,20099.645,22303.67,20049.0,9907.0,53.0
172084,20412.07,21648.674,20051.0,8697.0,110.0
172085,21074.973,20831.598,20053.0,9422.0,725.0
172117,20325.105,22262.05,20053.0,8923.0,46.0
172118,21221.488,20563.477,20072.0,9208.0,725.0
172119,21552.88,20110.621,20056.0,9321.0,47.0
172129,21851.014,20183.238,20044.0,9556.0,725.0
172137,20403.627,21812.531,20052.0,9120.0,57.0
172141,20725.123,21092.436,20057.0,9516.0,725.0
172142,21299.477,20612.75,20061.0,9594.0,725.0
172180,20616.21,21394.707,20060.0,9476.0,725.0
172181,21701.56,20145.574,20058.0,9532.0,725.0
172185,21994.602,20095.084,20063.0,9269.0,121.0
172186,20342.527,21759.291,20062.0,9153.0,57.0
172200,20872.475,22019.379,20063.0,8872.0,54.0
172201,21332.709,20478.746,20065.0,9055.0,55.0
172229,20303.62,21821.314,20064.0,8704.0,110.0
172230,20496.75,21925.215,20070.0,8985.0,56.0
